shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
5iron,102.1,17.4,1.5,5391,12.3,I-S2-V1-P2,115-150,142.9,138.1,4.8,142.9,4.8,153.5,142.2,11.3,10.6,4.1,6.5,64.2,59.6,4.6,,,,false,severe
approach_mid_iron_test_shot,93.9,22.9,-2.6,5375,2.0,I-S2-V2-P2,115-150,125.2,125.8,-0.6,125.2,-0.6,135.8,128.5,7.3,10.6,2.7,7.9,64.3,69.3,-5.0,,,,false,moderate
bump_and_run,58.3,15.6,-0.8,1850,2.3,C-S0-V1-P0,<115,37.7,43.8,-6.1,37.7,-6.1,37.4,62.0,-24.6,-0.3,18.2,-18.5,8.6,10.1,-1.5,,,,false,severe
bump_and_run_slow,30.3,15.6,-0.8,1850,2.3,C-S0-V1-P0,,10.2,,,10.2,,28.2,,,18.0,,,2.2,,,,,,false,
bump_test_shot,78.3,5.6,-0.8,1850,2.3,I-S1b-V0-P0,<115,37.3,39.0,-1.7,37.3,-1.7,87.2,74.0,13.2,49.9,35.0,14.9,3.0,3.1,-0.1,,,,false,severe
checked_test_shot,75.0,38.5,1.4,10701,5.7,W-S1b-V4-P4,<115,75.5,77.6,-2.1,75.5,-2.1,77.0,77.5,-0.5,1.5,-0.1,1.6,69.9,79.5,-9.6,,,,false,pass
chip_test_shot,24.7,17.9,20.4,3204,-0.0,C-S0-V1-P1,,7.8,,,7.8,,17.1,,,9.3,,,1.9,,,,,,false,
drive_test_shot,150.0,12.5,1.5,2335,-9.9,D-S4-V1-P0,>200,248.1,244.0,4.1,248.1,4.1,260.6,256.0,4.6,12.5,12.0,0.5,82.2,80.6,1.6,,,,false,moderate
driver1,124.0,9.4,-9.5,2322,-24.8,D-S4-V0-P0,150-180,157.7,158.0,-0.3,157.7,-0.3,157.7,184.0,-26.3,0.0,26.0,-26.0,29.4,30.2,-0.8,,,,false,severe
driver2,124.6,13.2,-6.8,3994,-6.1,D-S4-V1-P1,180-200,187.6,184.8,2.8,187.6,2.8,195.2,192.3,2.9,7.6,7.5,0.1,61.5,65.8,-4.3,,,,false,pass
driver3,119.1,16.0,-8.9,4935,-9.4,D-S3-V1-P2,150-180,175.0,174.1,0.9,175.0,0.9,194.4,178.5,15.9,19.4,4.4,15.0,96.1,78.5,17.6,,,,false,severe
